sim_time_sec,commanded_effort_Nm,joint_position_rad,joint_velocity_rad_per_sec
1748403542.5454972,0.0,-1.57079632685688,-9.44102129858126e-12
1748403542.5654848,0.0,-1.570796326857071,-9.441032651206989e-12
1748403542.5851893,0.0,-1.570796326857262,-9.441028418505648e-12
1748403542.6052966,0.0,-1.570796326857453,-9.441040017268405e-12
1748403542.625306,0.0,-1.570796326857644,-9.44102564869061e-12
1748403542.6451252,0.0,-1.5707963268578349,-9.44102798978919e-12
1748403542.6653514,0.0,-1.5707963268580258,-9.441028763491821e-12
1748403542.685536,0.0,-1.5707963268580258,-9.441028763491821e-12
1748403542.7052104,0.0,-1.5707963268582168,-9.441026927171305e-12
1748403542.7255087,0.0,-1.5707963268584078,-9.44102284215218e-12
1748403542.7457466,0.0,-1.5707963268585987,-9.44102400967405e-12
1748403542.76544,0.0,-1.5707963268587897,-9.441024709535582e-12
1748403542.7854488,0.0,-1.5707963268589806,-9.441027075247858e-12
1748403542.8054492,0.0,-1.5707963268591716,-9.441033323014807e-12
1748403542.8253977,0.0,-1.5707963268593625,-9.441025232872497e-12
1748403542.845133,0.0,-1.5707963268595535,-9.441032309624327e-12
1748403542.8657122,0.0,-1.5707963268597445,-9.441021191025932e-12
1748403542.885465,0.0,-1.5707963268599354,-9.441025165480566e-12
1748403542.9056137,0.0,-1.5707963268601264,-9.441038594508993e-12
1748403542.9256763,0.0,-1.5707963268603173,-9.441024299772303e-12
1748403542.9459267,0.0,-1.5707963268605083,-9.441029546258455e-12
1748403542.9653876,0.0,-1.5707963268606993,-9.44102653636123e-12
1748403542.9856195,0.0,-1.5707963268608902,-9.441026579533794e-12
1748403543.0054433,0.0,-1.5707963268610812,-9.441028649881646e-12
1748403543.0254607,0.0,-1.5707963268612721,-9.441028766895315e-12
1748403543.0455027,0.0,-1.570796326861463,-9.44102883468158e-12
1748403543.0652382,0.0,-1.570796326861654,-9.441023625313148e-12
1748403543.0855362,0.0,-1.570796326861845,-9.441028748730788e-12
1748403543.1052556,0.0,-1.570796326862036,-9.441039100075723e-12
1748403543.1253886,0.0,-1.570796326862227,-9.44101657356935e-12
1748403543.1453629,0.0,-1.5707963268624179,-9.441026851073184e-12
1748403543.1654072,0.0,-1.5707963268626088,-9.441024571706032e-12
1748403543.1852078,0.0,-1.5707963268627998,-9.441031065610009e-12
1748403543.205582,0.0,-1.5707963268629908,-9.441023952134796e-12
1748403543.225704,0.0,-1.5707963268631817,-9.441039334497411e-12
1748403543.2450757,0.0,-1.5707963268633727,-9.441031244355106e-12
1748403543.2654784,0.0,-1.5707963268635636,-9.441033388544063e-12
1748403543.2852123,0.0,-1.5707963268637546,-9.44102437096207e-12
1748403543.3052974,0.0,-1.5707963268639455,-9.441037504626072e-12
1748403543.3256636,0.0,-1.5707963268639455,-9.441037504626072e-12
1748403543.3458934,0.0,-1.5707963268641365,-9.441024334238683e-12
1748403543.3651953,0.0,-1.5707963268643275,-9.44103463635622e-12
1748403543.3857937,0.0,-1.5707963268645184,-9.44103182336861e-12
1748403543.4055207,0.0,-1.5707963268647094,-9.441032744753455e-12
1748403543.425274,0.0,-1.5707963268649003,-9.441029004326156e-12
1748403543.4458883,0.0,-1.5707963268650913,-9.441022916745437e-12
1748403543.4654386,0.0,-1.5707963268652823,-9.441026185283699e-12
1748403543.4854548,0.0,-1.5707963268654732,-9.441021878741252e-12
1748403543.5052114,0.0,-1.5707963268656642,-9.441025122665819e-12
1748403543.525543,0.0,-1.5707963268658551,-9.441031271977957e-12
1748403543.5452764,0.0,-1.570796326866046,-9.441034565129928e-12
1748403543.5655384,0.0,-1.570796326866237,-9.441034485233982e-12
1748403543.5852027,0.0,-1.570796326866428,-9.44103580043806e-12
1748403543.6052086,0.0,-1.570796326866619,-9.441027636454648e-12
1748403543.6253054,0.0,-1.57079632686681,-9.441033933448999e-12
1748403543.6455073,0.0,-1.5707963268670009,-9.441013360276813e-12
1748403543.6654503,0.0,-1.5707963268671918,-9.441032214142153e-12
1748403543.6852117,0.0,-1.5707963268673828,-9.441025978879225e-12
1748403543.705397,0.0,-1.5707963268675738,-9.441030445607909e-12
1748403543.7254984,0.0,-1.5707963268677647,-9.441028092399642e-12
1748403543.745333,0.0,-1.5707963268679557,-9.441044845248585e-12
